#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
86,Moldova,"620,419",,"12,113                                ",,"504,142",,"104,164",49,"154,596","3,018","3,216,305","801,437","4,013,171 ",Europe,,63311,,,"25,956"
87,Estonia,"618,200",,"3,001                                ",,"524,990",,"90,209",3,"467,657","2,270","3,706,919","2,804,214","1,321,910 ",Europe,,24400,,,"68,241"
88,Venezuela,"552,695",,"5,856                                ",,"546,537",,302,31,"18,885",200,"3,359,014","114,771","29,266,991 ",South America,,"534,9989",,,10
89,Egypt,"515,970",,"24,613                                ",,"442,182",,"49,175",122,"4,860",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,463
90,Qatar,"509,440",,690                                ,,"507,534",,"1,216",32,"170,958",232,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3191",,,408
91,Libya,"507,252",,"6,437                                ",,"500,813",,2,,"72,045",914,"2,483,848","352,782","7,040,745 ",Africa,,"141,0943",,,0.3
92,Ethiopia,"500,847",,"7,574                                ",,"487,977",,"5,296",1,"4,146",63,"5,543,560","45,886","120,812,698 ",Africa,,"24115,95122",,,44
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,,29861,,,"73,888"
94,Honduras,"472,533",,"11,112                                ",,N/A,N/A,N/A,105,"46,230","1,087","1,652,947","161,717","10,221,247 ",North America,,229206,,,"32,176"
95,Armenia,"449,062",,"8,747                                ",,"435,162",,"5,153",,"151,099","2,943","3,242,901","1,091,164","2,971,966 ",Asia,,73401,,,"1,734"
96,Bosnia and Herzegovina,"402,848",,"16,337                                ",,"379,084",,"7,427",,"123,979","5,028","1,884,721","580,036","3,249,317 ",Europe,,81992,,,"2,286"
97,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,1500",,,"1,907"
98,North Macedonia,"348,142",,"9,673                                ",,"337,068",,"1,401",,"167,271","4,648","2,226,216","1,069,626","2,081,304 ",Europe,,62151,,,673
99,Zambia,"343,910",,"4,058                                ",,"339,811",,41,,"17,663",208,"4,033,092","207,141","19,470,234 ",Africa,,"574,7985",,,2
100,Kenya,"343,060",,"5,688                                ",,"337,309",,63,1,"6,103",101,"3,967,062","70,569","56,215,221 ",Africa,,"1649,88314",,,1
101,Albania,"334,726",,"3,602                                ",,"329,428",,"1,696",,"116,777","1,257","1,941,032","677,173","2,866,374 ",Europe,,97961,,,592
102,Botswana,"329,852",,"2,801                                ",,"327,056",,-5,1,"135,121","1,147","2,026,898","830,300","2,441,162 ",Africa,,78721,,,-2.05
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883"
104,Montenegro,"291,602",,"2,826                                ",,"288,184",,592,6,"464,371","4,500","2,749,797","4,379,006","627,950 ",Europe,,22220,,,943
105,Brunei ,"288,051",,225                                ,,"243,601",,"44,225",3,"646,679",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"99,286"
106,Algeria,"271,745",,"6,881                                ",,"182,978",,"81,886",,"5,992",152,"230,960","5,093","45,350,148 ",Africa,,"1676,591196",,,"1,806"
107,Nigeria,"266,675",,"3,155                                ",,"259,953",,"3,567",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,,"81368,70038",,,16
108,Zimbabwe,"264,685",,"5,686                                ",,"258,888",,111,12,"17,264",371,"2,525,756","164,744","15,331,428 ",Africa,,"582,6966",,,7
109,Uzbekistan,"253,009",,"1,637                                ",,"241,486",,"9,886",23,"7,359",48,"1,377,915","40,077","34,382,084 ",Asia,,"13621,00325",,,288
110,Mozambique,"233,417",,"2,243                                ",,"228,805",,"2,369",11,"7,054",68,"1,371,127","41,437","33,089,461 ",Africa,,"14214,75224",,,72
111,Martinique,"229,900",,"1,100                                ",,N/A,N/A,N/A,12,"614,563","2,940","828,928","2,215,870","374,087 ",North America,,23400,,,"611,344"
112,Laos,"218,081",,758                                ,,N/A,N/A,N/A,,"29,151",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",,,"28,026"
113,Afghanistan,"216,396",,"7,896                                ",,"194,073",,"14,427",45,"5,310",194,"1,237,975","30,376","40,754,388 ",Asia,,"1885,16133",,,354
114,Iceland,"209,191",,229                                ,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,"385,871"
115,Kyrgyzstan,"206,888",,"2,991                                ",,"196,406",,"7,491",131,"30,749",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,113"
116,Guadeloupe,"202,653",,"1,017                                ",,N/A,N/A,N/A,19,"506,894","2,544","938,039","2,346,306","399,794 ",North America,,23930,,,"498,722"
117,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770"
